TweetID	Label		
46243856106258433	4		
46279496625688576	2a		
46296682798915584	4		
46322472131371008	2b		
46371164079140864	4		
46595280568729600	4		
46598657935556608	4		
46616211064242176	4		
46648299226275840	4		
46678615932420096	2a		
46743641888264192	4		
47041424994217984	2b		
47083959934398464	4		
47130163124772864	4		
47130384886018048	4		
47143642577649664	2b		
47146914059264001	4		
47157988875714560	2a		
47232256279986176	2a		
47234421190950912	4		
47255048606064640	4		
47271276632489985	2b		
47277371224625152	4		
47318063409934336	4		
47320440514953218	4		
47326947684003840	2b		
47403467672780800	2b		
47435311235596288	2b		
47439867860353024	0		
47629641472671744	4		
47631813115518976	2a		
47635387220361216	0		
47639411042689024	2b		
47640573158494208	4		
47641893668003840	0		
47642916352573440	2a		
47648940048400384	4		
47650804869505025	2a		
47653519263666177	4		
47671179904942080	4		
47672391131869185	4		
47673033682452480	2a		
47677642689871872	4		
47684275604164608	2a		
47685867703242752	2a		
47689757723078657	4		
47694880784392192	2a		
47695821549998080	2a		
47700725479915521	0		
47710017708756992	4		
47714973136338944	2b		
47716335458861056	2b		
47721731242205184	2a		
47733312260804608	4		
47748866342268929	2a		
47751584830070786	2b		
47768625708404736	2a		
47768627381932033	2a		
47769304510365696	4		
47779253877612545	4		
47813471450042368	2b		
47843595276922881	4		
47873499011887104	4		
47889384292364288	0		
47933228044124160	0		
48003541041819648	4		
48014666546413568	2b		
48014999473491968	2a		
48015559585038337	4		
48019499580014592	4		
48022134445981696	4		
48022370081972225	4		
48022661086969856	4		
48026428981260288	4		
48035422730846209	4		
48043077625057281	0		
48046515507314688	2b		
48046712505376769	2a		
48068263271337984	4		
48071409620099072	4		
48072156176859137	2a		
48072659208122368	0		
48088014697660416	4		
48091663511453696	4		
48093619764203520	4		
48107147531268096	4		
48114105302781952	2b		
48128340527288321	2b		
48137415319240704	4		
48142573386215424	4		
48142575185567744	4		
48175381223718912	2a		
48183581918507008	0		
48226551837364224	4		
48259420446146560	4		
48260509530718208	4		
48318571641708544	0		
48379238503550976	4		
48380175519453184	0		
48382593414078464	4		
48390163155533825	2a		
48393147776118784	4		
48396533321834497	4		
48397074689040386	4		
48401696426164224	2a		
48415243063410689	4		
48415552963747840	4		
48430941328257024	4		
48437527543164928	0		
48440843807367169	2b		
48443805556424704	2a		
48469122580881408	4		
48470962127114240	2a		
48474467969675265	2a		
48480066421796864	0		
48487944612352000	2b		
48488947067797504	2b		
48494682623328256	0		
48518463798517760	2a		
48530308626259968	4		
48541742554824704	4		
48730998405468160	4		
48739342230888448	4		
48743804894842880	2b		
